text,intent
cún hi đi,greet_pet
mèo chào cún nhé,greet_pet
mèo tạm dừng giúp mình,pet_sleep
bé mở youtube luôn,open_youtube
mèo vào web luôn,open_browser
mèo hạ volume xuống giúp mình,volume_down
mèo trốn đi giúp mình,pet_minimize
bé hạ volume xuống đi,volume_down
bé tạm dừng bây giờ,pet_sleep
bạn to tiếng lên một chút,volume_up
cún dừng lại nhé,pet_sleep
bạn im chút luôn,volume_down
bạn bật chrome luôn,open_browser
bé đi ngủ nhé giúp mình,pet_sleep
mèo tăng âm lượng nhé,volume_up
trợ lý thông minh thật bây giờ,praise_pet
trợ lý tăng âm lượng bây giờ,volume_up
vào web luôn,open_browser
bạn vào web giúp mình,open_browser
cún vào youtube nhé,open_youtube
trợ lý tắt chrome,close_browser
bé vào web bây giờ,open_browser
trợ lý nghỉ chút nhé,pet_sleep
bé bật youtube lên nhé,open_youtube
mèo ngoan lắm bây giờ,praise_pet
bạn hello bây giờ,greet_pet
bật youtube lên,open_youtube
thông minh thật nhé,praise_pet
im chút đi,volume_down
chào cún giúp mình,greet_pet
mở to loa nhé,volume_up
bạn dễ thương quá một chút,praise_pet
tắt chrome luôn,close_browser
bé mở chrome lên đi,open_browser
cún dễ thương quá luôn,praise_pet
mèo hạ volume xuống bây giờ,volume_down
bạn đóng tab một chút,close_browser
cún ẩn xuống góc giúp mình,pet_minimize
bạn vặn to lên giúp mình,volume_up
trợ lý mở browser bây giờ,open_browser
mở browser bây giờ,open_browser
cún đóng trình duyệt giúp mình,close_browser
mèo mở chrome lên nhé,open_browser
cún thông minh thật giúp mình,praise_pet
bạn chào cún bây giờ,greet_pet
bạn đóng trình duyệt nhé,close_browser
bé ngủ đi giúp mình,pet_sleep
trợ lý xem youtube một chút,open_youtube
trợ lý đi ngủ nhé luôn,pet_sleep
mèo mở browser một chút,open_browser
bé ê bé đi,greet_pet
bạn dừng lại nhé,pet_sleep
cún tạm dừng luôn,pet_sleep
ngủ đi đi,pet_sleep
bạn bật youtube lên,open_youtube
mèo ngủ đi bây giờ,pet_sleep
trợ lý bật youtube lên,open_youtube
cún đi ngủ nhé đi,pet_sleep
bé siêu đỉnh một chút,praise_pet
mèo tốt lắm một chút,praise_pet
trợ lý chui xuống góc màn hình giúp mình,pet_minimize
bạn vào youtube giúp mình,open_youtube
vào youtube nhé,open_youtube
đóng tab nhé,close_browser
bé mở to loa giúp mình,volume_up
nghỉ chút một chút,pet_sleep
trợ lý giỏi quá đi,praise_pet
trợ lý dừng lại,pet_sleep
bạn thông minh thật giúp mình,praise_pet
đi ngủ nhé luôn,pet_sleep
bé đóng tab,close_browser
bé vặn to lên nhé,volume_up
trợ lý chào bạn giúp mình,greet_pet
cún mở chrome lên bây giờ,open_browser
cún chui xuống góc màn hình luôn,pet_minimize
mèo tăng âm lượng,volume_up
mèo mở trình duyệt đi,open_browser
bé bật youtube lên bây giờ,open_youtube
khởi động trình duyệt đi,open_browser
mèo nghỉ chút,pet_sleep
bạn mở to loa một chút,volume_up
mèo dễ thương quá đi,praise_pet
bạn tốt lắm giúp mình,praise_pet
cún hi,greet_pet
vào web,open_browser
cún chào bạn giúp mình,greet_pet
trợ lý mở to loa bây giờ,volume_up
bạn chào cún giúp mình,greet_pet
bạn ngủ đi bây giờ,pet_sleep
cún bật youtube lên đi,open_youtube
cún khởi động trình duyệt bây giờ,open_browser
bé hi nhé,greet_pet
mèo giảm âm lượng,volume_down
bạn chào cún đi,greet_pet
trợ lý xem youtube đi,open_youtube
trợ lý đóng trình duyệt nhé,close_browser
trợ lý thu nhỏ đi giúp mình,pet_minimize
thu nhỏ đi bây giờ,pet_minimize
bạn hạ volume xuống luôn,volume_down
bé trốn đi,pet_minimize
siêu đỉnh luôn,praise_pet
mèo chui xuống góc màn hình đi,pet_minimize
cún to tiếng lên nhé,volume_up
cún thu nhỏ đi,pet_minimize
bé vào youtube một chút,open_youtube
vặn to lên giúp mình,volume_up
mèo tăng âm lượng đi,volume_up
mèo nhỏ tiếng lại giúp mình,volume_down
bé thoát browser,close_browser
mèo ngủ đi đi,pet_sleep
mèo giảm âm lượng một chút,volume_down
mèo dễ thương quá một chút,praise_pet
cún hạ volume xuống bây giờ,volume_down
mèo to tiếng lên một chút,volume_up
mèo mở browser đi,open_browser
bạn giỏi quá một chút,praise_pet
bạn to tiếng lên bây giờ,volume_up
bạn trốn đi đi,pet_minimize
tạm dừng bây giờ,pet_sleep
xem youtube giúp mình,open_youtube
bạn khởi động trình duyệt giúp mình,open_browser
bạn chào trợ lý bây giờ,greet_pet
tốt lắm đi,praise_pet
cún đóng trình duyệt một chút,close_browser
bé xem youtube một chút,open_youtube
mèo tắt chrome giúp mình,close_browser
bạn ê bé một chút,greet_pet
bạn trốn đi luôn,pet_minimize
mèo ngoan lắm,praise_pet
bé siêu đỉnh bây giờ,praise_pet
hi một chút,greet_pet
ngủ đi luôn,pet_sleep
mèo xin chào một chút,greet_pet
cún hạ volume xuống nhé,volume_down
mèo tắt chrome một chút,close_browser
cún hạ volume xuống đi,volume_down
bạn trốn đi,pet_minimize
mèo mở chrome lên một chút,open_browser
trợ lý chào trợ lý bây giờ,greet_pet
trợ lý vào web luôn,open_browser
thông minh thật bây giờ,praise_pet
mèo chào cún một chút,greet_pet
bé bật youtube lên đi,open_youtube
giỏi quá nhé,praise_pet
bé tắt chrome giúp mình,close_browser
trợ lý hạ volume xuống nhé,volume_down
cún khởi động trình duyệt đi,open_browser
cún ngủ đi bây giờ,pet_sleep
khởi động trình duyệt một chút,open_browser
mèo đóng trình duyệt bây giờ,close_browser
bạn xem youtube nhé,open_youtube
trợ lý chui xuống góc màn hình đi,pet_minimize
mèo tốt lắm luôn,praise_pet
mèo đóng trình duyệt,close_browser
